*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143305390 : Tx: [80][FF][FF][FF][B6][E3][DE][48]
1143305640 : Tx: [80][FF][FF][FF][0B][E7][DF][48]
1143305890 : Tx: [80][FF][FF][FF][0B][E7][DF][48]
1143306125 : Tx: [00][FF][FF][FF][0B][E7][DF][48]
1143306375 : Tx: [00][FF][FF][FF][60][EA][E0][48]
1143306625 : Tx: [00][FF][FF][FF][60][EA][E0][48]
1143306875 : Tx: [00][FF][FF][FF][60][EA][E0][48]
1143307125 : Tx: [80][FF][FF][FF][60][EA][E0][48]
1143307359 : Tx: [80][FF][FF][FF][B5][ED][E1][48]
1143307609 : Tx: [80][FF][FF][FF][B5][ED][E1][48]
1143307859 : Tx: [80][FF][FF][FF][B5][ED][E1][48]
1143308109 : Tx: [00][FF][FF][FF][0A][F1][E2][48]
1143308343 : Tx: [00][FF][FF][FF][0A][F1][E2][48]
1143308593 : Tx: [00][FF][FF][FF][0A][F1][E2][48]
1143308843 : Tx: [00][FF][FF][FF][5F][F4][E3][48]
1143309093 : Tx: [80][FF][FF][FF][5F][F4][E3][48]
1143309328 : Tx: [80][FF][FF][FF][5F][F4][E3][48]
